order	precursor	precursor_acc_num	miRNA_5p	miRNA_5p_acc_num	miRNA_3p	miRNA_3p_acc_num	
1_	hsa-let-7a-1	MI0000060	hsa-let-7a-5p	MIMAT0000062	hsa-let-7a-3p	MIMAT0004481	
2_	hsa-let-7a-2	MI0000061	hsa-let-7a-5p	MIMAT0000062	hsa-let-7a-2-3p	MIMAT0010195	
3_	hsa-let-7a-3	MI0000062	hsa-let-7a-5p	MIMAT0000062	hsa-let-7a-3p	MIMAT0004481	
4_	hsa-let-7b	MI0000063	hsa-let-7b-5p	MIMAT0000063	hsa-let-7b-3p	MIMAT0004482	
5_	hsa-let-7c	MI0000064	hsa-let-7c-5p	MIMAT0000064	hsa-let-7c-3p	MIMAT0026472	
6_	hsa-let-7d	MI0000065	hsa-let-7d-5p	MIMAT0000065	hsa-let-7d-3p	MIMAT0004484	
7_	hsa-let-7e	MI0000066	hsa-let-7e-5p	MIMAT0000066	hsa-let-7e-3p	MIMAT0004485	
8_	hsa-let-7f-1	MI0000067	hsa-let-7f-5p	MIMAT0000067	hsa-let-7f-1-3p	MIMAT0004486	
9_	hsa-let-7f-2	MI0000068	hsa-let-7f-5p	MIMAT0000067	hsa-let-7f-2-3p	MIMAT0004487	
10_	hsa-let-7g	MI0000433	hsa-let-7g-5p	MIMAT0000414	hsa-let-7g-3p	MIMAT0004584	
11_	hsa-let-7i	MI0000434	hsa-let-7i-5p	MIMAT0000415	hsa-let-7i-3p	MIMAT0004585	
12_	hsa-mir-1-1	MI0000651	na	na	hsa-miR-1-3p	MIMAT0000416	
13_	hsa-mir-1-2	MI0000437	na	na	hsa-miR-1-3p	MIMAT0000416	
14_	hsa-mir-100	MI0000102	hsa-miR-100-5p	MIMAT0000098	hsa-miR-100-3p	MIMAT0004512	
15_	hsa-mir-101-1	MI0000103	hsa-miR-101-5p	MIMAT0004513	hsa-miR-101-3p	MIMAT0000099	
16_	hsa-mir-101-2	MI0000739	na	na	hsa-miR-101-3p	MIMAT0000099	
17_	hsa-mir-103a-1	MI0000109	na	na	hsa-miR-103a-3p	MIMAT0000101	
18_	hsa-mir-103a-2	MI0000108	hsa-miR-103a-2-5p	MIMAT0009196	hsa-miR-103a-3p	MIMAT0000101	
19_	hsa-mir-103b-1	MI0007261	hsa-miR-103b-5p	MIMAT0007402	na	na	
20_	hsa-mir-103b-2	MI0007262	hsa-miR-103b-5p	MIMAT0007402	na	na	
21_	hsa-mir-105-1	MI0000111	hsa-miR-105-5p	MIMAT0000102	hsa-miR-105-3p	MIMAT0004516	
22_	hsa-mir-105-2	MI0000112	hsa-miR-105-5p	MIMAT0000102	hsa-miR-105-3p	MIMAT0004516	
23_	hsa-mir-106a	MI0000113	hsa-miR-106a-5p	MIMAT0000103	hsa-miR-106a-3p	MIMAT0004517	
24_	hsa-mir-106b	MI0000734	hsa-miR-106b-5p	MIMAT0000680	hsa-miR-106b-3p	MIMAT0004672	
25_	hsa-mir-107	MI0000114	na	na	hsa-miR-107-3p	MIMAT0000104	
26_	hsa-mir-10a	MI0000266	hsa-miR-10a-5p	MIMAT0000253	hsa-miR-10a-3p	MIMAT0004555	
27_	hsa-mir-10b	MI0000267	hsa-miR-10b-5p	MIMAT0000254	hsa-miR-10b-3p	MIMAT0004556	
28_	hsa-mir-1178	MI0006271	hsa-miR-1178-5p	MIMAT0022940	hsa-miR-1178-3p	MIMAT0005823	
29_	hsa-mir-1179	MI0006272	hsa-miR-1179-5p	MIMAT0005824	na	na	
30_	hsa-mir-1180	MI0006273	hsa-miR-1180-5p	MIMAT0026735	hsa-miR-1180-3p	MIMAT0005825	
31_	hsa-mir-1181	MI0006274	hsa-miR-1181-5p	MIMAT0005826	na	na	
32_	hsa-mir-1182	MI0006275	na	na	hsa-miR-1182-3p	MIMAT0005827	
33_	hsa-mir-1183	MI0006276	na	na	hsa-miR-1183-3p	MIMAT0005828	
34_	hsa-mir-1184-1	MI0006277	na	na	hsa-miR-1184-3p	MIMAT0005829	
35_	hsa-mir-1184-2	MI0015971	na	na	hsa-miR-1184-3p	MIMAT0005829	
36_	hsa-mir-1184-3	MI0015972	na	na	hsa-miR-1184-3p	MIMAT0005829	
37_	hsa-mir-1185-1	MI0003844	hsa-miR-1185-5p	MIMAT0005798	hsa-miR-1185-1-3p	MIMAT0022838	
38_	hsa-mir-1185-2	MI0003821	hsa-miR-1185-5p	MIMAT0005798	hsa-miR-1185-2-3p	MIMAT0022713	
39_	hsa-mir-1193	MI0014205	hsa-miR-1193-5p	MIMAT0015049	na	na	
40_	hsa-mir-1197	MI0006656	na	na	hsa-miR-1197-3p	MIMAT0005955	
41_	hsa-mir-1199	MI0020340	hsa-miR-1199-5p	MIMAT0031119	hsa-miR-1199-3p	MIMAT0031120	
42_	hsa-mir-1200	MI0006332	hsa-miR-1200-5p	MIMAT0005863	na	na	
43_	hsa-mir-1202	MI0006334	hsa-miR-1202-5p	MIMAT0005865	na	na	
44_	hsa-mir-1203	MI0006335	hsa-miR-1203-5p	MIMAT0005866	na	na	
